country;yr;u;nrrFam;accu;tlv;ud
Australia;1960;1.246594071;;;;50.17292786
Australia;1961;2.455487967;;;;49.47180939
Australia;1962;2.319218636;;;;49.52106094
Australia;1963;1.867157698;;;;49.163414
Australia;1964;1.448286772;;;;48.19296265
Australia;1965;1.363484979;;;20.70000076;47.88634491
Australia;1966;1.688496947;;;19.89999962;45.83517456
Australia;1967;1.816037655;;;20.39999962;45.02021408
Australia;1968;1.65241003;;;20.39999962;44.78983688
Australia;1969;1.573383451;;;20.70000076;44.37794113
Australia;1970;1.493359327;;;21.10000038;44.15357971
Australia;1971;1.737491488;39.54898071;;21.89999962;45.38865662
Australia;1972;2.621435404;45.23479462;;21.39999962;46.33092117
Australia;1973;1.886077166;55.52248383;;22.5;47.23434067
Australia;1974;2.463405848;53.72434235;;24.60000038;48.80023956
Australia;1975;4.770507813;47.36701965;;25.39999962;50.06398773
Australia;1976;4.952014446;57.20640945;;25.60000038;49.46821213
Australia;1977;5.909198284;56.07329178;;25.39999962;48.73694611
Australia;1978;6.499222755;57.97844696;;24.5;49.22977066
Australia;1979;6.122083664;57.93268204;;25.10000038;49.5873909
Australia;1980;6.187365532;52.18980408;;26.20000076;49.63658905
Australia;1981;5.881696224;53.58208847;;26.39999962;49.05454254
Australia;1982;7.045244694;52.88000107;;26.79999924;49.36511993
Australia;1983;10.34975719;54.94245148;;26.10000038;49.81058884
Australia;1984;8.922535896;57.31504059;;27.70000076;49.09263992
Australia;1985;8.258135796;58.22304535;;27.79999924;49.07826233
Australia;1986;8.080572128;59.77349091;;28.60000038;48.6003685
Australia;1987;8.106394768;59.54067612;;28.60000038;48.01980209
Australia;1988;7.22580862;65.54943085;;28.29999924;46.50787354
Australia;1989;6.174987793;62.0527916;;28;45.26965332
Australia;1990;6.925963879;65.52296448;;28;45.40411758
Australia;1991;9.593219757;68.44464111;;26.60000038;46.55011368
Australia;1992;10.80460739;69.08889771;;26.10000038;43.68697739
Australia;1993;10.89653111;70.28868866;;26.5;41.93888092
Australia;1994;9.748069763;67.2804184;;27.39999962;37.5920639
Australia;1995;8.494262695;66.19075775;;28.20000076;34.79844284
Australia;1996;8.546901703;68.14582062;;28.79999924;34.38429642
Australia;1997;8.450525284;68.58976746;;28.60000038;32.88093948
Australia;1998;7.716554642;66.40202332;;29.39999962;31.04249573
Australia;1999;6.930813789;66.18735504;;29.79999924;28.48978996
Australia;2000;6.27565527;64.36056519;;30.39999962;28.08736801
Australia;2001;6.75495863;68.39719391;;28.89999962;27.79854965
Australia;2002;6.362736225;65.26101685;;29.79999924;26.49562645
Australia;2003;5.943826675;63.5725975;;30;26.28029442
Australia;2004;5.396630764;61.17873764;;30.29999924;25.47969246
Australia;2005;5.044790268;60.99378586;;30;25.50098991
Australia;2006;4.789361;60.55944443;;29.60000038;23.42910004
Australia;2007;4.379647732;57.25798798;;29.70000076;21.78594589
Australia;2008;4.24938345;55.33108521;;27.10000038;21.83472443
Australia;2009;5.593056679;53.54136276;;25.79999924;22.5572567
Australia;2010;5.223993301;;;25.60000038;21.57918549
Australia;2011;5.092373371;;;26.5;21.65998268
Australia;2012;5.234797478;;;;
Australia;2013;5.674351692;;;;
Austria;1960;2.599999905;;;;67.88319397
Austria;1961;2;;3.780963659;;67.33297729
Austria;1962;2;;3.591303587;;66.6570282
Austria;1963;2.200000048;;3.511850834;;67.05964661
Austria;1964;2.099999905;;3.838778019;;66.62435913
Austria;1965;2;;3.937947035;33.90000153;66.15817261
Austria;1966;1.899999976;;4.20437336;34.59999847;65.84437561
Austria;1967;2;;3.769857883;34.5;65.09120941
Austria;1968;2.099999905;;3.648534298;34.5;62.05251694
Austria;1969;2.099999905;;3.692363977;35;63.06902313
Austria;1970;1.399999976;;4.089277744;33.90000153;62.75217438
Austria;1971;1.299999952;60.79970551;4.761946201;34.59999847;61.89138794
Austria;1972;1.200000048;54.93818855;5.5010252;35;60.99781799
Austria;1973;1.100000024;49.0766716;5.069367886;35.20000076;60.83205795
Austria;1974;1.399999976;48.72146225;4.964648724;36.20000076;57.9337883
Austria;1975;1.700000048;48.3662529;4.141838074;36.70000076;58.9921875
Austria;1976;1.700000048;54.1579113;4.179431915;36.59999847;59.20436859
Austria;1977;1.799999952;59.9495697;4.404272079;36.90000153;58.61665344
